PLAYER,YEAR,POS,NO SHOES,WITH SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE,3/4 SPRINT,STD VERT,MAX VERT,BENCH,BODY FAT %,HAND L,HAND W
Jordan McRae,2014,WING,75.75,77.25,104.0,179.4,84.50,8.75,3.15,3.39,27.5,34.5,,5.2%,8.75,8.50
Jordan Mickey,2015,BIG,79.00,80.25,106.0,238.0,87.25,8.25,3.13,3.28,33.0,37.5,9,7.2%,8.75,9.50
Jordan Nwora,2019,WING,77.50,79.50,103.0,220.0,82.50,5.00,,,,,,7.8%,8.50,9.25
Jordan Poole,2019,WING,75.50,77.50,99.5,190.8,78.75,3.25,3.14,3.27,28.0,35.5,-,7.5%,8.25,8.50
Jordan Taylor,2012,PG,73.00,74.00,92.5,192.8,75.00,2.00,,3.19,33.0,36.5,14,5.5%,8.25,9.50
Jordan Williams,2011,BIG,79.75,81.00,106.5,247.2,84.25,4.50,,3.45,25.0,30.5,10,12.1%,9.25,10.00
Joseph Forte,2001,WING,75.50,,100.5,193.0,78.50,3.00,,3.19,26.5,33.0,10,,,
Joseph Jones,2008,BIG,79.00,80.50,107.0,240.0,84.25,5.25,,3.33,25.5,31.0,16,12.2%,,
Joseph Young,2015,COMBO G,72.75,74.00,94.5,182.2,77.00,4.25,3.11,3.25,34.5,40.5,9,4.1%,8.75,7.50
Josh Childress,2004,WING,77.75,79.25,105.0,196.0,83.00,5.25,,3.38,29.0,36.0,11,9.3%,,
Josh Duncan,2008,BIG,80.00,81.00,104.5,230.0,83.50,3.50,,3.26,28.0,32.0,26,5.4%,,
Josh Hart,2017,WING,76.00,77.50,99.5,203.6,80.50,4.50,3.15,3.20,29.5,38.5,,5.8%,8.50,9.25
Josh Heytvelt,2009,BIG,82.00,83.00,108.0,246.2,85.25,3.25,,3.38,28.5,34.0,15,10.8%,,
Josh Howard,2003,WING,77.25,,105.5,202.0,86.00,8.75,,3.09,33.0,36.5,4,6.0%,,
Josh McRoberts,2007,BIG,80.00,82.00,106.5,240.0,85.00,5.00,,3.47,27.5,31.5,12,13.7%,,
Josh Okogie,2018,WING,75.00,76.50,102.0,210.8,84.00,9.00,3.03,3.04,33.0,42.0,,5.2%,9.00,9.75
Josh Powell,2003,COMBO F,80.00,,107.5,227.0,85.00,5.00,,3.20,32.5,38.5,15,8.0%,,
Josh Selby,2011,COMBO G,73.75,75.00,98.0,194.6,77.25,3.50,,3.20,29.5,42.0,5,7.9%,8.50,9.00
Josh Smith,2004,WING,79.00,80.25,106.5,221.0,84.00,5.00,,3.24,32.5,39.5,12,6.7%,,
JR Reynolds,2007,PG,72.00,74.75,95.0,188.0,75.25,3.25,,3.24,27.5,34.5,15,8.2%,,
Jrue Holiday,2009,COMBO G,75.25,76.25,100.5,199.0,79.00,3.75,,3.21,28.5,34.0,6,6.3%,,
Juan Mendez,2005,COMBO F,77.25,78.75,106.5,231.4,84.00,6.75,,3.24,29.0,33.0,14,,,
Julian Sensley,2002,COMBO F,79.00,,105.5,228.0,83.50,4.50,,3.32,27.5,31.5,8,,,
Julian Wright,2007,COMBO F,78.50,80.50,108.0,211.0,86.25,7.75,,3.36,28.5,33.5,2,6.1%,,
Julius Doc Robinson,2000,PG,72.00,,95.5,184.0,75.75,3.75,,3.41,30.0,37.5,0,,,
Julius Hodge,2005,WING,78.00,79.00,107.5,202.2,84.50,6.50,,3.18,24.5,29.0,14,,,
Julius Randle,2014,BIG,79.75,81.00,105.5,249.7,84.00,4.25,3.14,3.27,29.0,35.5,,9.4%,8.75,8.25
Justin Anderson,2015,WING,77.25,78.25,101.0,230.6,83.75,6.50,2.88,3.22,38.0,43.0,12,5.0%,8.50,9.50
Justin Doellman,2007,BIG,80.00,81.50,105.0,205.0,80.75,0.75,,,,,19,7.0%,,
Justin Hamilton,2003,COMBO G,75.00,,103.0,217.0,83.00,8.00,,3.18,30.0,37.5,17,8.0%,,
Justin Harper,2011,COMBO F,80.00,80.75,106.0,228.0,83.75,3.75,,3.30,28.5,33.0,19,4.0%,9.00,9.25
Justin Jackson,2016,WING,79.00,80.25,103.5,193.4,82.75,3.75,2.96,3.26,29.5,34.5,,7.6%,8.75,8.75
Justin Jackson (UMD),2017,WING,77.75,79.00,107.0,219.4,87.25,9.50,3.08,3.43,26.5,31.5,,7.1%,9.00,9.50
Justin Jackson (UNC),2017,WING,79.00,80.25,104.5,200.8,83.00,4.00,3.06,3.30,29.5,35.5,,8.1%,8.75,9.25
Justin Jackson 18,2018,BIG,78.00,78.75,105.0,229.4,87.00,9.00,,,,,,8.9%,9.00,9.50
Justin Love,2000,COMBO G,73.50,,97.5,205.5,76.50,3.00,,3.31,31.0,38.5,24,,,
Justin Patton,2017,BIG,82.00,83.25,111.5,229.0,87.00,5.00,3.31,3.46,26.0,30.5,,7.8%,8.75,9.75
Justin Williams,2006,BIG,79.25,80.75,109.0,211.0,85.50,6.25,,3.31,26.5,31.5,7,6.5%,,
Justise Winslow,2015,WING,76.50,78.50,104.5,221.8,82.25,5.75,,,,,,5.3%,8.50,9.25
K.J. McDaniels,2014,WING,76.50,78.00,102.0,195.6,83.25,6.75,3.20,3.10,33.0,37.0,,4.5%,8.75,9.75
Kadeem Allen,2017,PG,73.00,74.25,99.5,192.4,81.25,8.25,2.98,3.15,33.0,35.5,,6.4%,8.50,8.75
Kareem Rush,2002,WING,76.75,,103.5,199.0,81.75,5.00,,3.22,26.0,30.0,15,,,
Karim Shabazz,2000,BIG,83.50,,111.5,224.0,87.00,3.50,,3.36,24.5,28.0,2,,,
Kawhi Leonard,2011,WING,78.00,79.00,106.0,227.4,87.00,9.00,,3.15,25.5,32.0,3,5.4%,9.75,11.25
Kay Felder,2016,PG,68.25,69.50,88.5,177.2,74.50,6.25,2.90,3.15,35.5,44.0,,5.8%,8.25,8.50
Keenan Evans,2018,PG,73.50,75.00,98.0,183.2,77.25,3.75,,,,,,6.5%,8.50,8.00
Kei Madison,2002,WING,79.75,,107.0,216.0,84.50,4.75,,3.22,27.5,34.5,6,,,
Keifer Sykes,2015,PG,70.50,71.75,93.0,167.2,74.00,3.50,3.15,3.13,34.0,43.0,8,5.0%,8.50,9.50
Keita Bates-Diop,2018,WING,79.25,80.50,106.5,223.8,87.25,8.00,3.28,3.17,30.5,35.0,,5.4%,9.00,8.50
Keith Benson,2011,BIG,82.00,83.00,109.5,217.0,87.75,5.75,,3.35,31.5,36.0,12,6.1%,9.50,11.00
Keith Bogans,2003,WING,76.25,,101.0,213.0,81.25,5.00,,3.25,29.5,35.0,10,8.0%,,
Keith Brumbaugh,2008,COMBO F,79.50,80.75,104.5,190.0,79.25,-0.25,,3.28,26.0,27.0,2,4.0%,,
Keith Gallon,2010,BIG,80.50,81.50,109.5,301.8,88.50,8.00,,3.70,23.5,28.5,14,15.1%,9.25,10.50
Keith Langford,2005,WING,74.25,75.50,101.0,203.2,81.00,6.75,,3.23,32.0,29.5,8,,,
Keldon Johnson,2019,COMBO G,76.75,78.00,104.0,216.4,81.25,4.50,,,,,,5.6%,8.00,9.25
Kelly Olynyk,2013,BIG,82.75,84.00,108.0,234.0,81.75,-1.00,2.99,3.59,24.5,29.5,5,6.7%,8.50,10.00
Kelly Oubre,2015,WING,77.75,78.75,102.5,202.8,86.25,8.50,3.12,3.32,34.5,37.0,7,5.7%,9.00,8.75
Kelvin Pena,2004,COMBO G,74.25,75.25,99.5,182.0,78.50,4.25,,3.24,27.5,32.5,1,8.6%,,
Kemba Walker,2011,PG,71.50,73.00,91.5,184.0,75.50,4.00,,3.16,32.0,39.5,7,5.9%,8.00,9.00
Ken Johnson,2001,BIG,82.75,,109.5,227.0,88.00,5.25,,3.12,32.5,35.0,13,9.9%,,
Kendall Marshall,2012,PG,75.25,76.25,96.0,198.4,77.50,2.25,,3.23,31.0,37.0,,7.8%,8.50,9.00
Kendall Williams,2014,PG,74.25,75.75,99.0,183.0,77.50,3.25,2.85,,27.0,33.0,,7.2%,8.00,7.75
Kennedy Meeks,2017,BIG,80.75,82.25,106.0,276.6,85.00,4.25,3.35,3.50,28.0,30.5,,11.5%,8.75,8.75
Kenneth Faried,2011,BIG,78.00,79.50,108.0,224.6,84.00,6.00,,3.26,30.5,35.0,16,6.3%,8.50,10.25
Kenny Adeleke,2006,BIG,78.50,79.75,104.0,250.0,82.25,3.75,,3.47,28.5,30.5,26,10.5%,,
Kenny Gregory,2001,WING,75.50,,101.0,200.0,83.25,7.75,,3.10,39.5,45.5,10,6.7%,,
Kenny Kadji,2013,BIG,80.75,82.00,106.5,241.6,87.00,6.25,2.88,3.44,34.0,38.0,9,7.5%,9.00,10.25
Kenny Satterfield,2001,PG,73.00,,98.0,176.0,76.50,3.50,,3.20,28.5,33.0,3,6.7%,,
Kenrich Williams,2018,WING,78.00,79.50,103.5,200.4,79.25,1.25,3.28,3.19,28.0,33.0,,6.0%,8.50,9.75
Kentavious Caldwell-Pope,2013,WING,76.50,77.50,100.5,203.6,80.00,3.50,3.20,3.12,29.0,34.5,7,6.5%,8.50,9.00
Kentrell Gransberry,2008,BIG,78.75,79.75,106.0,290.0,82.25,3.50,,3.32,24.5,27.5,18,17.4%,,
Kenyon Jones,2000,BIG,81.00,,108.0,282.0,85.00,4.00,,3.60,28.5,30.0,20,,,
Kevin Durant,2007,COMBO F,81.00,82.25,110.0,215.0,88.75,7.75,,3.45,26.0,33.5,0,6.6%,,
Kevin Hervey,2018,BIG,78.50,79.75,106.0,211.6,87.50,9.00,3.15,3.36,27.5,32.0,,5.2%,9.25,10.25
Kevin Huerter,2018,WING,78.25,79.25,101.5,194.0,79.50,1.25,2.96,3.09,31.0,38.0,,8.6%,8.25,8.50
Kevin Jones,2012,BIG,78.25,79.50,105.0,251.2,85.50,7.25,,3.60,27.5,32.5,17,11.2%,9.00,7.75
Kevin Knox,2018,WING,79.25,81.00,108.0,212.6,83.75,4.50,,,,,,5.0%,8.75,9.25
Kevin Love,2008,BIG,79.75,81.50,106.0,255.0,83.25,3.50,,3.22,29.5,35.0,18,12.9%,,
Kevin Lyde,2002,BIG,80.75,,109.5,278.0,86.00,5.25,,3.36,27.5,30.5,13,,,
Kevin Murphy,2012,WING,77.00,78.25,99.0,194.0,78.75,1.75,,3.42,31.0,36.5,11,5.8%,8.50,8.50
Kevin Pittsnogle,2005,BIG,81.25,82.25,106.0,259.2,82.50,1.25,,,,,,,,
Kevin Porter Jr.,2019,WING,76.00,77.50,103.0,212.6,81.00,5.00,3.03,3.14,27.0,34.0,2,5.1%,8.75,8.75
Kevon Looney,2015,BIG,80.00,81.25,110.0,222.4,87.50,7.50,,,,,,11.9%,9.50,9.25
Keydren Clark,2006,PG,69.00,70.25,92.5,184.0,74.50,5.50,,3.11,31.0,34.0,13,11.6%,,
Khalid El-Amin,2000,PG,69.00,,93.0,200.0,73.50,4.50,,3.32,27.5,32.0,6,,,
Khem Birch,2014,BIG,79.50,81.25,107.0,208.8,85.00,5.50,3.24,3.26,30.5,35.5,,6.0%,9.00,8.50
Khris Middleton,2012,WING,78.75,80.25,103.0,216.2,82.75,4.00,,3.47,28.0,31.0,4,7.8%,9.00,9.00
Khyri Thomas,2018,WING,74.50,75.75,101.0,198.8,82.50,8.00,3.18,3.18,30.0,35.0,,6.4%,8.75,9.25
Kim English,2012,WING,76.50,77.75,98.0,192.0,78.50,2.00,,3.33,29.0,36.5,,4.3%,8.50,8.75
Kimani Ffriend,2001,BIG,81.50,,108.5,228.0,82.75,1.25,,3.09,32.0,33.0,9,11.7%,,
Kirk Haston,2001,COMBO F,80.00,,106.0,242.0,84.25,4.25,,3.35,27.0,31.5,11,10.5%,,
Kirk Hinrich,2003,COMBO G,74.75,,98.5,186.0,78.00,3.25,,3.10,29.0,33.5,10,5.3%,,
Kirk Penney,2003,WING,77.00,,97.0,218.0,77.25,0.25,,3.04,32.0,35.5,15,8.0%,,
Kirk Snyder,2004,WING,78.00,78.75,104.0,228.0,81.00,3.00,,3.13,30.0,35.0,19,9.3%,,
Klay Thompson,2011,WING,77.75,79.25,103.5,205.6,81.00,3.25,,3.24,26.5,31.5,5,8.0%,8.75,9.25
Kobi Simmons,2017,PG,75.25,76.50,99.0,166.2,78.00,2.75,2.98,3.18,30.5,38.5,,5.0%,8.50,9.50
Kostas Antetokounmpo,2018,BIG,81.00,82.50,110.0,194.8,86.25,5.25,3.47,3.21,29.5,35.0,,5.0%,9.25,9.50
Kris Dunn,2016,PG,75.00,76.25,100.0,,81.50,6.50,,,,,,,,
Kris Humphries,2004,BIG,80.25,81.50,106.5,238.0,84.50,4.25,,3.20,29.5,36.0,22,6.7%,,
Kris Joseph,2012,WING,78.00,79.00,104.0,215.0,83.00,5.00,,3.46,28.5,35.0,6,8.6%,9.00,9.00
Kris Lang,2002,BIG,81.25,,109.0,242.0,83.75,2.50,,3.24,28.0,29.0,19,,,
Kris Wilkes,2019,WING,78.25,79.75,103.0,208.8,82.75,4.50,3.09,3.34,27.5,35.0,4,4.9%,8.50,9.50
Kris Wilkes 18,2018,WING,78.50,79.50,103.5,205.0,82.25,3.75,3.16,3.26,28.0,35.5,,5.2%,8.75,9.25
Kwame Brown,2001,BIG,82.00,,108.0,243.0,85.00,3.00,,3.45,30.0,33.0,17,8.9%,,
Ky Bowman,2019,PG,73.00,75.25,98.0,181.2,79.00,6.00,3.11,3.26,27.5,33.0,4,4.9%,8.25,9.00
Kyle Anderson,2014,WING,79.50,80.50,107.5,230.1,86.75,7.25,,,,,,13.4%,8.25,8.75
Kyle Guy,2019,COMBO G,72.75,74.25,95.5,167.8,76.50,3.75,3.07,3.27,30.5,36.5,4,5.7%,8.00,8.75
Kyle Hines,2008,COMBO F,75.75,77.25,104.5,234.0,85.25,9.50,,3.40,28.5,33.0,16,3.6%,,
Kyle Korver,2003,WING,78.25,,102.5,211.0,81.50,3.25,,3.47,25.5,31.5,13,6.7%,,
Kyle Kuzma,2017,WING,80.00,81.50,107.5,222.6,84.25,4.25,2.98,3.25,27.0,34.0,,9.4%,8.50,9.50
Kyle O'Quinn,2012,BIG,80.50,82.00,106.5,240.8,88.75,8.25,,3.53,31.5,31.5,,8.0%,9.50,10.00
Kyle Singler,2011,WING,79.50,80.50,106.0,228.0,82.00,2.50,,3.21,23.0,30.0,10,10.0%,8.25,8.75
Kyle Visser,2007,BIG,82.00,83.50,108.0,242.0,83.00,1.00,,3.39,26.0,29.0,18,10.2%,,
Kyle Wiltjer,2016,BIG,80.75,82.00,102.5,242.8,84.25,3.50,3.04,3.48,28.5,35.5,,15.3%,8.25,9.50
Kyrie Irving,2011,PG,73.75,75.50,99.0,191.0,76.00,2.25,,,,,,10.2%,8.25,9.25
KZ Okpala,2019,WING,79.25,81.50,106.5,209.6,85.75,6.50,3.13,3.38,30.5,37.0,9,4.6%,9.25,9.25
LaceDarius Dunn,2011,WING,75.00,76.00,101.0,187.8,78.25,3.25,,3.27,26.5,31.0,3,5.5%,9.00,10.25
Lamar Patterson,2014,WING,76.00,77.25,101.0,226.0,83.00,7.00,3.13,3.45,27.5,32.5,,10.8%,9.00,9.25
LaMarcus Aldridge,2006,BIG,82.00,83.25,110.0,234.0,88.75,6.75,,3.43,26.5,34.0,8,8.7%,,
Lamont Barnes,2000,BIG,80.50,,108.0,235.5,87.50,7.00,,3.40,28.0,29.5,10,,,
Lance Stephenson,2010,WING,76.50,77.75,103.0,227.0,82.50,6.00,,3.38,27.0,33.0,10,9.3%,9.00,10.25
Landry Shamet,2018,PG,76.00,77.25,100.0,188.6,78.75,2.75,3.21,3.11,31.0,39.5,,4.9%,8.00,9.00
LaQuinton Ross,2014,WING,78.50,79.50,106.0,238.7,85.75,7.25,3.52,3.44,25.0,31.0,,16.3%,8.75,9.75
Larry Nance,2015,BIG,79.50,80.50,108.0,226.6,85.50,6.00,3.01,3.25,29.0,37.5,10,6.4%,9.00,9.75
Larry O'Bannon,2005,WING,75.00,76.25,99.5,196.0,78.00,3.00,,3.18,31.5,36.5,17,,,
Larry Sanders,2010,BIG,81.25,82.50,112.0,222.4,89.75,8.50,,3.27,25.5,28.0,7,4.6%,9.75,11.00
LaVell Blanchard,2003,WING,78.00,,101.5,205.0,78.00,0.00,,3.38,33.5,36.5,12,11.7%,,
Lavor Postell,2000,WING,76.50,,101.5,205.0,80.50,4.00,,3.30,33.5,36.5,17,,,
Lawrence Roberts,2004,BIG,79.50,81.00,106.5,233.0,81.50,2.00,,3.30,27.5,33.0,18,9.3%,,
Lazar Hayward,2010,WING,76.50,77.75,102.0,225.8,84.75,8.25,,3.31,31.0,36.0,15,7.5%,9.25,9.50
Lazaros Papadopoulos,2001,BIG,82.25,,110.5,227.0,86.50,4.25,,3.70,23.0,26.0,4,11.7%,,
LeBron James,2003,WING,79.25,,106.3,245.0,84.25,5.00,,,,,,6.7%,,
Lee Benson,2002,COMBO F,80.25,,109.0,217.0,85.75,5.50,,3.29,27.5,32.5,14,,,
Lee Scruggs,2001,COMBO F,82.25,,110.5,209.0,89.75,7.50,,3.55,23.5,29.5,0,10.5%,,
Lenny Cooke,2002,WING,77.50,,107.0,214.0,85.00,7.50,,,,,0,,,
Lester Hudson,2008,PG,71.75,73.00,98.5,196.0,80.75,9.00,,3.16,30.5,36.0,12,3.4%,,
Longar Longar,2008,BIG,81.00,82.00,109.5,212.5,85.25,4.25,,,,,14,10.6%,,
Lonnie Jones,2002,BIG,82.25,,112.0,230.0,86.25,4.00,,3.33,30.5,31.5,15,,,
Lonnie Walker,2018,WING,75.75,76.50,99.5,196.2,82.25,6.50,2.87,3.06,31.5,40.0,,5.7%,9.00,9.50
Lonny Baxter,2002,BIG,78.25,,107.5,264.0,85.50,7.25,,3.21,28.0,32.5,14,,,
Loren Woods,2001,BIG,84.75,,113.0,246.0,89.50,4.75,,3.48,24.5,28.0,10,9.3%,,
Lorenzo Brown,2013,PG,76.00,77.25,100.0,189.2,79.00,3.00,3.24,3.40,28.0,34.0,8,4.0%,8.25,8.50
Lou Amundson,2006,BIG,79.25,80.00,103.5,221.0,83.50,4.25,,3.20,32.0,35.5,14,6.8%,,
Louis King,2019,WING,78.75,80.00,104.5,195.2,84.25,5.50,3.05,3.28,29.0,33.0,0,4.8%,8.00,8.50
Lubos Barton,2002,WING,78.50,,107.0,221.0,84.00,5.50,,3.31,25.5,31.5,14,,,
Luc Mbah a Moute,2008,WING,77.75,79.50,103.5,221.0,86.50,8.75,,3.17,32.0,38.5,11,7.0%,,
Luguentz Dort,2019,COMBO G,74.75,76.25,99.5,222.2,80.50,5.75,3.13,3.22,32.5,38.0,14,5.0%,8.50,9.00
Luis Flores,2004,COMBO G,72.50,73.75,98.5,202.0,79.50,7.00,,3.10,29.0,32.0,15,6.0%,,
Luka Samanic,2019,BIG,81.50,83.00,107.0,227.2,82.50,1.00,3.03,3.27,27.0,38.0,7,5.6%,8.50,9.00
Luke Babbitt,2010,COMBO F,79.50,80.75,104.5,217.8,83.25,3.75,,3.40,29.5,37.5,15,5.6%,8.50,10.00
Luke Harangody,2010,BIG,78.00,79.75,106.0,240.2,81.50,3.50,,3.41,24.0,28.5,23,11.1%,8.75,9.75
Luke Jackson,2004,WING,78.00,79.00,103.0,212.0,80.50,2.50,,3.24,26.5,36.0,13,8.0%,,
Luke Kennard,2017,WING,76.50,77.50,98.5,196.2,77.25,0.75,,,,,,6.6%,8.00,8.75
Luke Recker,2002,WING,76.75,,101.0,198.0,79.00,2.25,,3.27,25.5,31.0,13,,,
Luke Ridnour,2003,PG,73.00,,95.5,167.0,75.00,2.00,,3.28,26.0,32.5,0,5.3%,,
Luke Schenscher,2005,BIG,83.75,85.50,111.5,241.6,89.00,5.25,,3.47,23.5,26.5,1,,,
Luke Walton,2003,COMBO F,79.75,,104.0,235.0,80.50,0.75,,,28.0,,12,9.3%,,
Luol Deng,2004,WING,79.00,80.00,108.5,220.0,84.50,5.50,,3.34,27.5,31.5,5,6.7%,,
Luther Head,2005,COMBO G,74.00,75.00,98.5,178.8,77.25,3.25,,3.21,31.5,38.5,14,,,
Lynn Greer,2002,PG,72.25,,94.5,170.0,73.00,0.75,,3.16,29.5,36.5,12,,,
Maarty Leunen,2008,WING,79.25,80.50,102.5,222.0,80.00,0.75,,3.36,29.5,34.5,14,8.9%,,
Major Wingate,2007,BIG,80.50,82.75,109.0,242.0,88.00,7.50,,3.47,27.5,30.5,15,6.7%,,
Malachi Richardson,2016,WING,76.75,78.25,101.5,199.6,84.00,7.25,3.25,3.33,33.0,38.0,,7.0%,8.75,10.00
Malcolm Brogdon,2016,WING,75.75,77.50,98.0,223.0,82.50,6.75,2.64,3.31,30.5,35.5,,5.4%,9.00,10.25
Malcolm Lee,2011,WING,76.00,77.50,101.5,198.2,81.75,5.75,,3.09,30.0,35.5,17,5.9%,8.50,9.50
Malcolm Thomas,2011,BIG,79.50,80.75,107.5,223.0,84.50,5.00,,3.29,32.0,36.5,3,5.9%,9.50,10.50
Malik Allen,2000,BIG,80.25,,109.0,271.0,86.50,6.25,,3.38,25.5,29.0,13,,,
Malik Beasley,2016,WING,75.50,76.50,100.5,189.8,79.00,3.50,,,,,,6.9%,8.50,9.00
Malik Hairston,2008,WING,76.25,77.25,103.5,204.0,81.00,4.75,,3.08,30.5,38.0,13,6.9%,,
Malik Newman,2018,WING,74.50,75.25,98.5,189.2,77.50,3.00,3.17,3.13,27.5,33.5,,6.3%,8.50,9.50
Manny Harris,2010,WING,76.00,77.50,102.0,185.1,79.25,3.25,,,,,11,3.8%,8.50,9.00
Marcelus Kemp,2008,WING,75.00,76.25,103.5,221.0,80.50,5.50,,3.39,26.0,30.0,9,9.0%,,
Marcin Gortat,2005,BIG,83.00,84.00,110.0,225.2,87.50,4.50,,3.33,29.5,36.0,18,,,
Marco Killingsworth,2006,BIG,77.50,78.75,104.0,266.0,87.00,9.50,,3.34,28.0,32.0,13,19.0%,,
Marcus Buckets Thornton,2009,WING,74.75,75.75,99.0,194.4,77.00,2.25,,3.28,31.0,33.0,14,4.8%,,
Marcus Campbell,2005,BIG,82.25,84.25,114.0,280.4,90.00,7.75,,,,,9,,,
Marcus Denmon,2012,WING,74.25,75.25,94.5,188.2,77.00,2.75,,3.19,33.5,40.0,8,6.6%,8.25,9.75
Marcus Douthit,2004,BIG,81.50,83.00,111.5,223.0,88.00,6.50,,3.34,25.5,31.5,1,13.7%,,
Marcus Dove,2008,COMBO F,78.75,79.50,105.0,208.0,83.50,4.75,,3.26,27.5,33.5,10,5.3%,,
Marcus Goree,2000,COMBO F,79.50,,105.5,239.0,84.50,5.00,,3.25,29.5,33.5,13,,,
Marcus Haislip,2002,BIG,80.50,,107.0,221.0,84.00,3.50,,3.21,33.5,36.5,8,,,
Marcus Hatten,2003,PG,72.75,,98.0,163.0,78.25,5.50,,3.15,29.5,37.5,7,4.0%,,
Marcus Lee,2016,BIG,81.00,82.25,107.5,211.0,87.00,6.00,3.19,3.25,28.5,35.5,,5.4%,9.00,9.00
Marcus Melvin,2004,COMBO F,78.75,80.50,105.5,241.0,84.00,5.25,,3.33,25.0,30.5,11,10.5%,,
Marcus Moore,2004,COMBO G,76.00,77.25,101.5,202.0,81.00,5.00,,3.34,25.0,30.0,,14.8%,,
Marcus Morris,2011,COMBO F,79.00,80.75,105.5,229.6,82.00,3.00,,3.15,29.0,33.0,11,8.0%,8.25,8.50
Marcus Paige,2016,PG,72.50,73.75,97.0,163.8,78.25,5.75,2.69,3.15,33.5,39.5,,4.3%,7.75,8.75
Marcus Slaughter,2006,COMBO F,79.00,80.00,104.5,220.0,83.50,4.50,,3.40,30.0,34.0,9,8.5%,,
Marcus Smart,2014,PG,74.00,75.25,99.0,227.2,81.25,7.25,2.96,3.26,33.0,36.0,,10.6%,9.00,8.75
Marcus Taylor,2002,PG,73.00,,98.5,181.0,76.50,3.50,,3.31,27.5,33.5,4,,,
Marcus Thornton,2015,COMBO G,73.75,74.75,97.5,177.4,79.75,6.00,2.88,3.02,34.5,43.0,3,5.3%,8.25,8.50
Marcus Williams,2006,PG,74.00,75.25,97.5,215.0,79.00,5.00,,3.40,24.5,28.0,4,12.4%,,
Mardy Collins,2006,COMBO G,76.25,77.50,103.0,224.0,82.00,5.75,,3.27,31.5,37.5,9,10.0%,,
Marial Shayok,2019,WING,76.50,77.50,103.5,196.8,84.25,7.75,3.04,3.37,29.5,36.5,9,4.7%,8.75,9.25
Mario Bland,2000,BIG,77.50,,103.0,287.0,84.00,6.50,,3.47,27.0,31.0,15,,,
Mario Boggan,2007,BIG,77.00,79.00,107.0,240.0,86.00,9.00,,3.45,24.0,26.5,12,9.2%,,
Mario Kasun,2002,BIG,83.75,,109.0,260.0,83.50,-0.25,,,,,12,,,
Mark Karcher,2000,WING,76.00,,102.5,218.0,80.00,4.00,,3.40,27.5,30.5,12,,,
Mark Madsen,2000,BIG,80.00,,104.5,236.5,84.50,4.50,,3.46,30.5,33.5,13,,,
Mark Tyndale,2008,WING,74.75,75.50,103.5,217.0,83.00,8.25,,3.14,27.0,33.5,5,6.7%,,
Markel Brown,2014,WING,74.50,75.50,100.0,184.4,80.75,6.25,2.90,3.18,36.5,43.5,,4.2%,8.25,9.75
Markelle Fultz,2017,PG,,,,,,0.00,,,,,,,,
Markieff Morris,2011,BIG,79.75,81.25,106.5,240.8,82.75,3.00,,3.40,27.0,31.5,11,10.2%,8.50,8.25
Marko Jaric,2000,WING,78.50,,104.0,210.0,81.00,2.50,,3.28,27.5,33.0,,,,
Marko Lekic,2007,BIG,81.00,82.50,108.5,267.0,85.00,4.00,,3.43,24.0,30.5,19,11.4%,,
Marko Tomas,2004,COMBO G,78.50,79.75,103.5,198.0,79.00,0.50,,3.23,32.0,31.5,,9.3%,,
Marlon Parmer,2003,PG,72.75,,97.0,184.0,75.50,2.75,,3.42,28.0,32.0,13,9.3%,,
Marquese Chriss,2016,BIG,80.75,82.00,105.0,233.0,84.25,3.50,3.05,3.26,32.5,38.5,,8.5%,9.00,9.00
Marquis Daniels,2003,COMBO G,77.25,,103.5,198.0,82.00,4.75,,3.25,30.5,35.0,6,4.0%,,
Marquis Estill,2003,BIG,80.50,,108.0,257.0,88.00,7.50,,3.31,30.0,36.0,7,11.7%,,
Marquis Teague,2012,PG,73.00,74.00,96.5,179.8,79.25,6.25,,3.19,32.5,40.5,8,6.3%,8.25,7.75
Marshon Brooks,2011,WING,76.25,77.25,101.0,194.6,85.00,8.75,,3.09,34.0,38.5,5,5.2%,9.00,10.50
Martell Webster,2005,WING,78.00,79.50,106.0,229.6,83.00,5.00,,3.39,28.0,30.5,7,,,
Martin Iti,2004,BIG,80.50,81.75,111.5,233.0,89.00,8.50,,3.41,26.5,32.5,13,10.5%,,
Martin Rancik,2001,COMBO F,80.75,,102.5,230.0,80.00,-0.75,,3.19,32.0,37.0,14,8.0%,,
Martynas Andriuskevicius,2005,BIG,85.25,87.00,112.5,227.8,83.25,-2.00,,3.42,24.0,27.5,0,,,
Marvin Stone,2003,BIG,81.50,,109.5,261.0,87.50,6.00,,3.50,25.5,27.5,9,17.4%,,
Marvin Williams,2005,COMBO F,79.00,80.25,108.0,228.2,87.50,8.50,,3.17,29.5,35.0,12,,,
Mason Plumlee,2013,BIG,83.25,84.50,108.0,238.2,83.00,-0.25,2.76,3.29,30.5,36.0,14,6.2%,9.75,9.50
Matt Barnes,2002,WING,78.75,,96.5,226.0,81.00,2.25,,3.28,35.5,40.5,11,,,
Matt Bonner,2003,COMBO F,80.50,,105.5,242.0,80.75,0.25,,3.32,27.0,32.0,20,13.6%,,
Matt Carroll,2003,WING,77.00,,98.5,207.0,78.50,1.50,,3.35,29.0,33.5,13,6.7%,,
Matt Freije,2004,COMBO F,80.25,81.50,108.5,234.0,85.00,4.75,,3.25,29.5,31.0,13,10.8%,,
